assist_category,foot_finish_group,shots,goals,mean_xg,goal_rate
Counter (solo),Footed shot (unknown preference),1,0,0.05314019,0.0
Counter (solo),Header,3,0,0.12004976866666667,0.0
Counter (solo),Other,1,0,0.26870713,0.0
Counter (solo),Strong Foot,34,8,0.21955272864705883,0.23529411764705882
Counter (solo),Weak Foot,9,1,0.15253463433333334,0.1111111111111111
Counter Attack,Footed shot (unknown preference),4,0,0.15545551875,0.0
Counter Attack,Header,2,0,0.0967773065,0.0
Counter Attack,Strong Foot,131,16,0.10183531524656489,0.12213740458015267
Counter Attack,Weak Foot,26,4,0.2129162640653846,0.15384615384615385
Counter Through Ball,Strong Foot,14,5,0.22176208214285714,0.35714285714285715
Counter Through Ball,Weak Foot,4,1,0.12561284825000002,0.25
Cross,Footed shot (unknown preference),13,1,0.11943646907692308,0.07692307692307693
Cross,Header,140,19,0.12290208272857142,0.1357142857142857
Cross,Other,7,0,0.21607262285714285,0.0
Cross,Strong Foot,125,20,0.159300191944,0.16
Cross,Weak Foot,39,8,0.16254483530769231,0.20512820512820512
Cutback,Footed shot (unknown preference),1,0,0.13267757,0.0
Cutback,Header,2,1,0.18604162000000002,0.5
Cutback,Strong Foot,32,6,0.14144527506250001,0.1875
Cutback,Weak Foot,7,2,0.3175217752857143,0.2857142857142857
Ground Pass,Footed shot (unknown preference),31,1,0.06114864640322581,0.03225806451612903
Ground Pass,Header,4,1,0.17697487125,0.25
Ground Pass,Strong Foot,878,46,0.0589664040025057,0.05239179954441914
Ground Pass,Weak Foot,173,16,0.08994261134104047,0.09248554913294797
High Pass,Footed shot (unknown preference),9,0,0.06100951011111111,0.0
High Pass,Header,39,3,0.10901770210256409,0.07692307692307693
High Pass,Strong Foot,97,5,0.0819846386185567,0.05154639175257732
High Pass,Weak Foot,16,3,0.1266837786875,0.1875
Set Piece,Footed shot (unknown preference),107,5,0.08527036921588785,0.04672897196261682
Set Piece,Header,805,76,0.10831638720062112,0.09440993788819876
Set Piece,Other,28,5,0.2734844823214286,0.17857142857142858
Set Piece,Strong Foot,1932,146,0.07646188668229814,0.07556935817805382
Set Piece,Weak Foot,379,41,0.1028090800883905,0.10817941952506596
Through Ball,Footed shot (unknown preference),1,0,0.19893445,0.0
Through Ball,Header,6,3,0.1480678905,0.5
Through Ball,Strong Foot,33,8,0.23145926027272729,0.24242424242424243
Through Ball,Weak Foot,24,8,0.240634991125,0.3333333333333333
Unassisted,Footed shot (unknown preference),27,6,0.24067127825925924,0.2222222222222222
Unassisted,Header,10,2,0.28474034130000003,0.2
Unassisted,Other,2,0,0.41607514999999995,0.0
Unassisted,Strong Foot,552,181,0.352224472365942,0.3278985507246377
Unassisted,Weak Foot,81,11,0.16147666685185186,0.13580246913580246
