assist_category,pressure_state,shots,goals,mean_xg,goal_rate
Counter (solo),Not under pressure,40,9,0.2105689203,0.225
Counter (solo),Under pressure,8,0,0.137105537125,0.0
Counter Attack,Not under pressure,128,18,0.1265332604140625,0.140625
Counter Attack,Under pressure,35,2,0.09986767194285713,0.05714285714285714
Counter Through Ball,Not under pressure,11,4,0.19752809845454544,0.36363636363636365
Counter Through Ball,Under pressure,7,2,0.20490163714285714,0.2857142857142857
Cross,Not under pressure,222,38,0.15715239737837838,0.17117117117117117
Cross,Under pressure,102,10,0.11407269011764705,0.09803921568627451
Cutback,Not under pressure,34,9,0.1932888810882353,0.2647058823529412
Cutback,Under pressure,8,0,0.08523001025,0.0
Ground Pass,Not under pressure,882,53,0.06526127030612244,0.060090702947845805
Ground Pass,Under pressure,204,11,0.060664909753431376,0.05392156862745098
High Pass,Not under pressure,122,8,0.09373723499999999,0.06557377049180328
High Pass,Under pressure,39,3,0.0857508643076923,0.07692307692307693
Set Piece,Not under pressure,2473,220,0.08951933374577437,0.08896077638495754
Set Piece,Under pressure,778,53,0.08905383133419023,0.06812339331619537
Through Ball,Not under pressure,49,15,0.2541143615102041,0.30612244897959184
Through Ball,Under pressure,15,4,0.136608897,0.26666666666666666
Unassisted,Not under pressure,609,195,0.349075523472578,0.32019704433497537
Unassisted,Under pressure,63,5,0.08092386019365079,0.07936507936507936
