opponent_team_name,shots,xg_total,goals,avg_gap,goal_rate
Croatia,279,40.7899071575,37,18.767025089605735,0.13261648745519714
Switzerland,279,36.1469003809,37,18.057347670250895,0.13261648745519714
France,249,35.6257365045,35,22.6425702811245,0.14056224899598393
England,281,34.500391935399996,29,12.98932384341637,0.10320284697508897
Spain,185,32.4530873967,29,19.075675675675676,0.15675675675675677
Portugal,192,25.3578725494,25,14.197916666666666,0.13020833333333334
Denmark,213,25.2394508647,18,11.009389671361502,0.08450704225352113
Belgium,277,21.9487928355,12,5.270758122743683,0.04332129963898917
Russia,125,20.0416000823,19,22.696,0.152
Poland,188,19.4382659383,20,6.574468085106383,0.10638297872340426
Netherlands,178,18.8930014675,18,13.573033707865168,0.10112359550561797
Argentina,95,17.0944825355,21,22.31578947368421,0.22105263157894736
Italy,119,16.6008235675,12,18.235294117647058,0.10084033613445378
Germany,127,14.9651952573,17,7.299212598425197,0.13385826771653545
Turkey,133,14.5457897354,13,6.172932330827067,0.09774436090225563
Japan,127,14.4565636115,14,8.31496062992126,0.11023622047244094
Costa Rica,109,14.1369622972,16,4.5963302752293576,0.14678899082568808
Serbia,121,13.5338251836,14,5.636363636363637,0.11570247933884298
Morocco,111,13.2164555159,7,8.333333333333334,0.06306306306306306
South Korea,107,12.434829445,11,8.429906542056075,0.102803738317757
Slovakia,104,12.3713548495,10,7.903846153846154,0.09615384615384616
Austria,98,11.838915249,10,6.295918367346939,0.10204081632653061
Mexico,98,11.7658309532,8,10.489795918367347,0.08163265306122448
Wales,120,11.6665485527,12,3.875,0.1
Tunisia,80,11.0562534372,8,9.1625,0.1
Saudi Arabia,86,10.5600619479,12,13.162790697674419,0.13953488372093023
Georgia,106,10.3894607604,8,4.283018867924528,0.07547169811320754
Hungary,84,10.2317541929,11,6.25,0.13095238095238096
Sweden,133,10.1203369812,8,2.5714285714285716,0.06015037593984962
Colombia,54,9.956571709,7,34.51851851851852,0.12962962962962962
Czech Republic,95,9.6501955722,8,3.3789473684210525,0.08421052631578947
Ukraine,105,9.5365641542,14,7.9904761904761905,0.13333333333333333
Australia,91,9.3537769936,10,5.615384615384615,0.10989010989010989
Iran,82,8.5510147718,9,8.21951219512195,0.10975609756097561
North Macedonia,44,7.901779251,8,12.113636363636363,0.18181818181818182
Slovenia,66,7.80046908,5,15.333333333333334,0.07575757575757576
Brazil,83,7.5136808437,9,7.554216867469879,0.10843373493975904
Panama,41,7.23283119,11,17.682926829268293,0.2682926829268293
Senegal,58,6.445385061,11,10.706896551724139,0.1896551724137931
Scotland,75,6.282039697,12,2.7733333333333334,0.16
Romania,70,5.660272231,6,5.485714285714286,0.08571428571428572
Cameroon,43,5.542830683,4,8.13953488372093,0.09302325581395349
Uruguay,82,5.4771913436999995,5,13.670731707317072,0.06097560975609756
Egypt,49,5.467784866,5,9.448979591836734,0.10204081632653061
Ghana,44,5.1012246586,7,10.590909090909092,0.1590909090909091
Peru,39,4.640273389,2,14.179487179487179,0.05128205128205128
Finland,53,4.352036039,2,4.3584905660377355,0.03773584905660377
Albania,54,4.2601092099999995,4,1.6666666666666667,0.07407407407407407
United States,30,4.258712415,4,6.866666666666666,0.13333333333333333
Nigeria,29,4.09718846,3,22.103448275862068,0.10344827586206896
Iceland,58,4.0666063717,5,10.620689655172415,0.08620689655172414
Qatar,31,3.7709291934,7,6.451612903225806,0.22580645161290322
Canada,29,3.706655762,7,1.7241379310344827,0.2413793103448276
Ecuador,20,2.1161176855,3,11.15,0.15
