possession_label,shots,goals,mean_xg,avg_gap,goal_rate,lift_vs_xg
Carry,1969,240,0.09709087879639411,2.1508379888268156,0.12188928390045708,0.024798405104062976
Opponent Block,1088,0,0.058110807001102945,0.029411764705882353,0.0,-0.058110807001102945
Opponent Pressure,963,100,0.09924156369480788,1.1495327102803738,0.10384215991692627,0.004600596222118392
No possession defensive trigger,688,187,0.3089973987014535,,0.27180232558139533,-0.03719507312005815
Ball Recovery,476,83,0.14512411253172267,0.12815126050420167,0.17436974789915966,0.02924563536743699
Opponent Duel – Aerial Lost,460,41,0.10280402084717391,0.08695652173913043,0.0891304347826087,-0.013673586064565216
Block,72,0,0.08235981886388889,0.1388888888888889,0.0,-0.08235981886388889
Opponent Block – Deflection,69,0,0.06906045417391304,0.18840579710144928,0.0,-0.06906045417391304
Carry – nan,14,6,0.1177295735,1.5714285714285714,0.42857142857142855,0.31084185507142853
Opponent Block – nan,8,0,0.059673643,0.375,0.0,-0.059673643
Opponent Interception – Lost In Play,4,0,0.10245510325,3.5,0.0,-0.10245510325
Ball Recovery – nan,3,0,0.01211085,0.0,0.0,-0.01211085
Opponent Pressure – nan,3,0,0.09125132866666667,0.3333333333333333,0.0,-0.09125132866666667
Pressure,3,0,0.062006965,4.0,0.0,-0.062006965
Block – nan,3,1,0.11926934266666667,0.0,0.3333333333333333,0.21406399066666665
Duel – Tackle,2,1,0.35511108999999996,2.5,0.5,0.14488891000000004
Opponent Ball Recovery,2,0,0.174336866,2.5,0.0,-0.174336866
Dribble,1,0,0.04455093,1.0,0.0,-0.04455093
Opponent Carry,1,0,0.049565967,3.0,0.0,-0.049565967
