chain_label,minute_bucket_label,shots,goals,mean_xg,goal_rate,lift_vs_xg,bucket_share
Carry + Cross,0-15,53,6,0.13695374101886792,0.11320754716981132,-0.0237461938490566,0.07402234636871509
Carry + Cross,15-30,46,3,0.1252428194347826,0.06521739130434782,-0.06002542813043478,0.059278350515463915
Carry + Cross,30-45,60,8,0.15084447843333332,0.13333333333333333,-0.017511145099999986,0.07537688442211055
Carry + Cross,45-60,76,7,0.12444884442105264,0.09210526315789473,-0.03234358126315791,0.06991720331186753
Carry + Cross,60-75,82,12,0.13873526813414636,0.14634146341463414,0.007606195280487782,0.09265536723163842
Carry + Cross,75-90,74,10,0.1256550398783784,0.13513513513513514,0.009480095256756749,0.08948004836759371
Carry + Cross,90+,50,3,0.13760871936000002,0.06,-0.07760871936000002,0.0673854447439353
Carry + Cross,Unknown,0,0,,0.0,0.0,0.0
Carry + Cutback,0-15,9,0,0.11759857566666668,0.0,-0.11759857566666668,0.012569832402234637
Carry + Cutback,15-30,5,0,0.10765683640000001,0.0,-0.10765683640000001,0.006443298969072165
Carry + Cutback,30-45,10,3,0.16057421060000002,0.3,0.13942578939999997,0.01256281407035176
Carry + Cutback,45-60,13,3,0.13397926184615383,0.23076923076923078,0.09678996892307695,0.011959521619135235
Carry + Cutback,60-75,4,1,0.085158586,0.25,0.16484141400000002,0.004519774011299435
Carry + Cutback,75-90,6,1,0.2014245788333333,0.16666666666666666,-0.034757912166666655,0.007255139056831923
Carry + Cutback,90+,7,3,0.20487922485714286,0.42857142857142855,0.2236922037142857,0.009433962264150943
Carry + Cutback,Unknown,0,0,,0.0,0.0,0.0
Carry + Ground Pass,0-15,136,2,0.04931392016323529,0.014705882352941176,-0.03460803781029412,0.18994413407821228
Carry + Ground Pass,15-30,161,6,0.05440611117763975,0.037267080745341616,-0.017139030432298134,0.20747422680412372
Carry + Ground Pass,30-45,169,11,0.05463411223254438,0.0650887573964497,0.010454645163905325,0.21231155778894473
Carry + Ground Pass,45-60,223,17,0.07265439544887893,0.07623318385650224,0.0035787884076233095,0.20515179392824287
Carry + Ground Pass,60-75,208,17,0.059204803712980765,0.08173076923076923,0.022525965517788467,0.23502824858757063
Carry + Ground Pass,75-90,174,10,0.06289564305229885,0.05747126436781609,-0.005424378684482756,0.21039903264812576
Carry + Ground Pass,90+,138,12,0.0677409269384058,0.08695652173913043,0.019215594800724628,0.18598382749326145
Carry + Ground Pass,Unknown,0,0,,0.0,0.0,0.0
Carry + High Pass,0-15,52,5,0.10135201634615386,0.09615384615384616,-0.0051981701923076995,0.07262569832402235
Carry + High Pass,15-30,55,2,0.08929226089090908,0.03636363636363636,-0.05292862452727272,0.07087628865979381
Carry + High Pass,30-45,41,3,0.11072464475609756,0.07317073170731707,-0.03755391304878049,0.05150753768844221
Carry + High Pass,45-60,58,7,0.10674349486206897,0.1206896551724138,0.013946160310344832,0.05335786568537258
Carry + High Pass,60-75,49,2,0.0925547982857143,0.04081632653061224,-0.05173847175510205,0.05536723163841808
Carry + High Pass,75-90,36,2,0.09978349175,0.05555555555555555,-0.04422793619444444,0.04353083434099154
Carry + High Pass,90+,48,4,0.09842888795833334,0.08333333333333333,-0.015095554625000007,0.0646900269541779
Carry + High Pass,Unknown,0,0,,0.0,0.0,0.0
Carry + Switch,0-15,19,0,0.06760205663157895,0.0,-0.06760205663157895,0.02653631284916201
Carry + Switch,15-30,29,2,0.07761771168965517,0.06896551724137931,-0.008652194448275863,0.037371134020618556
Carry + Switch,30-45,25,1,0.07157999384,0.04,-0.031579993839999994,0.031407035175879394
Carry + Switch,45-60,25,0,0.062923707468,0.0,-0.062923707468,0.022999080036798528
Carry + Switch,60-75,21,0,0.06260143671428571,0.0,-0.06260143671428571,0.023728813559322035
Carry + Switch,75-90,27,1,0.08568801157407407,0.037037037037037035,-0.04865097453703704,0.032648125755743655
Carry + Switch,90+,16,2,0.06135999825,0.125,0.06364000175000001,0.0215633423180593
Carry + Switch,Unknown,0,0,,0.0,0.0,0.0
Carry + Through Ball,0-15,14,2,0.17506268492857144,0.14285714285714285,-0.03220554207142859,0.019553072625698324
Carry + Through Ball,15-30,9,3,0.21316095366666665,0.3333333333333333,0.12017237966666666,0.011597938144329897
Carry + Through Ball,30-45,7,2,0.2608249212857143,0.2857142857142857,0.024889364428571426,0.008793969849246231
Carry + Through Ball,45-60,6,1,0.36014027000000004,0.16666666666666666,-0.19347360333333338,0.005519779208831647
Carry + Through Ball,60-75,12,3,0.15154139991666668,0.25,0.09845860008333332,0.013559322033898305
Carry + Through Ball,75-90,15,6,0.20905558466666668,0.4,0.19094441533333334,0.018137847642079808
Carry + Through Ball,90+,7,2,0.241629595,0.2857142857142857,0.044084690714285696,0.009433962264150943
Carry + Through Ball,Unknown,0,0,,0.0,0.0,0.0
Direct + Cross,0-15,58,10,0.13463873420689654,0.1724137931034483,0.03777505889655175,0.08100558659217877
Direct + Cross,15-30,38,5,0.1331773612368421,0.13157894736842105,-0.0015984138684210503,0.04896907216494845
