chain_label,shots,goals,mean_xg,goal_rate,lift
Unassisted,1700,290,0.18544318477311764,0.17058823529411765,-0.014854949478999985
Carry + Ground Pass,1203,75,0.06468427438886118,0.06234413965087282,-0.0023401347379883586
Direct + Ground Pass,987,68,0.06472533645410335,0.06889564336372847,0.004170306909625124
Carry + Cross,439,51,0.13182835092938497,0.11617312072892938,-0.01565523020045559
Carry + High Pass,354,28,0.10264779747598869,0.07909604519774012,-0.023551752278248572
Direct + Cross,333,51,0.14696076681681683,0.15315315315315314,0.006192386336336314
Direct + High Pass,247,18,0.09851455720647773,0.0728744939271255,-0.025640063279352227
Carry + Switch,155,5,0.0669252637516129,0.03225806451612903,-0.034667199235483864
Direct + Switch,139,6,0.073327084123741,0.04316546762589928,-0.03016161649784172
Direct + Through Ball,78,22,0.21403822948076923,0.28205128205128205,0.06801305257051282
Carry + Through Ball,72,23,0.21261707202777777,0.3194444444444444,0.10682737241666665
Carry + Cutback,55,11,0.15738763645454545,0.2,0.04261236354545456
Direct + Cutback,46,6,0.14556304630434783,0.13043478260869565,-0.015128263695652178
Duel Win + Ground Pass,9,2,0.05078082088888888,0.2222222222222222,0.17144140133333333
Dribble + Ground Pass,3,1,0.10290015166666666,0.3333333333333333,0.23043318166666665
Duel Win + Switch,3,0,0.10458213666666667,0.0,-0.10458213666666667
Duel Win + Cross,2,2,0.198715725,1.0,0.801284275
Duel Win + High Pass,2,0,0.097855293,0.0,-0.097855293
Dribble + Switch,1,0,0.04621987,0.0,-0.04621987
Dribble + High Pass,1,0,0.088843234,0.0,-0.088843234
