set_piece_category,score_state,shots,goals,mean_xg,goal_rate,lift_vs_xg
Penalty,Trailing 2+,26,18,0.7835,0.6923076923076923,-0.09119230769230768
Penalty,Trailing 1,62,39,0.7835,0.6290322580645161,-0.15446774193548385
Penalty,Level,90,61,0.7835,0.6777777777777778,-0.10572222222222216
Penalty,Leading 1,39,29,0.7835,0.7435897435897436,-0.03991025641025636
Penalty,Leading 2+,6,5,0.7835,0.8333333333333334,0.049833333333333396
Penalty,Unknown,0,0,,0.0,0.0
Direct Free Kick,Trailing 2+,13,0,0.040718352230769236,0.0,-0.040718352230769236
Direct Free Kick,Trailing 1,36,2,0.04285912705555556,0.05555555555555555,0.012696428499999995
Direct Free Kick,Level,109,5,0.04048832406055046,0.045871559633027525,0.005383235572477066
Direct Free Kick,Leading 1,35,1,0.04770007378,0.02857142857142857,-0.019128645208571427
Direct Free Kick,Leading 2+,19,1,0.04100840610526316,0.05263157894736842,0.011623172842105262
Direct Free Kick,Unknown,0,0,,0.0,0.0
Indirect Free Kick,Trailing 2+,52,5,0.09920546803846154,0.09615384615384616,-0.0030516218846153853
Indirect Free Kick,Trailing 1,166,13,0.10437611308975904,0.0783132530120482,-0.026062860077710845
Indirect Free Kick,Level,455,39,0.08488612828329671,0.08571428571428572,0.0008281574309890044
Indirect Free Kick,Leading 1,129,12,0.1055096285364341,0.09302325581395349,-0.012486372722480613
Indirect Free Kick,Leading 2+,57,9,0.1222496229122807,0.15789473684210525,0.03564511392982456
Indirect Free Kick,Unknown,0,0,,0.0,0.0
Corner,Trailing 2+,61,5,0.13302536571967213,0.08196721311475409,-0.05105815260491804
Corner,Trailing 1,205,19,0.10084573024292683,0.09268292682926829,-0.008162803413658534
Corner,Level,503,29,0.08370757411153082,0.05765407554671968,-0.026053498564811137
Corner,Leading 1,120,11,0.0884000272775,0.09166666666666666,0.003266639389166659
Corner,Leading 2+,43,6,0.1583536393488372,0.13953488372093023,-0.01881875562790697
Corner,Unknown,0,0,,0.0,0.0
Throw In,Trailing 2+,70,5,0.11052582061857143,0.07142857142857142,-0.03909724919
Throw In,Trailing 1,237,17,0.07735371395822785,0.07172995780590717,-0.0056237561523206775
Throw In,Level,542,48,0.08583632789760148,0.08856088560885608,0.0027245577112545993
Throw In,Leading 1,125,14,0.0874712133512,0.112,0.024528786648799997
Throw In,Leading 2+,41,11,0.1419513541609756,0.2682926829268293,0.1263413287658537
Throw In,Unknown,0,0,,0.0,0.0
Goal Kick,Trailing 2+,11,1,0.12232935663636364,0.09090909090909091,-0.03142026572727273
Goal Kick,Trailing 1,40,2,0.0856315103625,0.05,-0.035631510362499993
Goal Kick,Level,131,11,0.07941413205114504,0.08396946564885496,0.004555333597709918
Goal Kick,Leading 1,41,5,0.14167886935853657,0.12195121951219512,-0.019727649846341455
Goal Kick,Leading 2+,10,2,0.1403913897,0.2,0.0596086103
Goal Kick,Unknown,0,0,,0.0,0.0
Kick Off,Trailing 2+,9,0,0.05109522497777778,0.0,-0.05109522497777778
Kick Off,Trailing 1,17,0,0.07303952515294118,0.0,-0.07303952515294118
Kick Off,Level,35,4,0.11010254148571429,0.11428571428571428,0.004183172799999996
Kick Off,Leading 1,2,0,0.058021131999999996,0.0,-0.058021131999999996
Kick Off,Leading 2+,1,0,0.04634087,0.0,-0.04634087
Kick Off,Unknown,0,0,,0.0,0.0
Other Restart,Trailing 2+,23,1,0.06263705791304348,0.043478260869565216,-0.019158797043478268
Other Restart,Trailing 1,44,8,0.1416564665840909,0.18181818181818182,0.04016171523409093
Other Restart,Level,156,20,0.1024356120948718,0.1282051282051282,0.025769516110256394
Other Restart,Leading 1,63,15,0.20148072734920636,0.23809523809523808,0.036614510746031725
Other Restart,Leading 2+,34,6,0.16671318044117647,0.17647058823529413,0.009757407794117656
Other Restart,Unknown,0,0,,0.0,0.0
Open Play,Trailing 2+,0,0,,0.0,0.0
Open Play,Trailing 1,0,0,,0.0,0.0
Open Play,Level,0,0,,0.0,0.0
Open Play,Leading 1,0,0,,0.0,0.0
Open Play,Leading 2+,0,0,,0.0,0.0
Open Play,Unknown,0,0,,0.0,0.0
