feature,coefficient,abs_coefficient
cat__def_label_Block – Deflection,1.8118846935053938,1.8118846935053938
num__def_trigger_logit,1.4526838304756415,1.4526838304756415
cat__def_label_No immediate defensive trigger,-0.9524542744309202,0.9524542744309202
num__set_piece_logit,0.7709157998117965,0.7709157998117965
bin__possession_match,-0.6974825013220982,0.6974825013220982
num__statsbomb_xg,0.5898561180073688,0.5898561180073688
cat__assist_category_Counter Attack,-0.4546537683915543,0.4546537683915543
num__concession_bias_logit,0.41123994091609667,0.41123994091609667
num__def_trigger_multiplier,0.4102805533161986,0.4102805533161986
cat__minute_bucket_label_0-15,-0.39972529715893723,0.39972529715893723
num__finishing_bias_logit,0.34822110615953994,0.34822110615953994
cat__assist_category_Through Ball,0.33170384594337543,0.33170384594337543
cat__assist_category_Counter Through Ball,0.32936945864150635,0.32936945864150635
cat__set_piece_category_Other Restart,0.3176859551703557,0.3176859551703557
cat__minute_bucket_label_90+,0.31294538880408274,0.31294538880408274
cat__def_label_Block,-0.29425820435964006,0.29425820435964006
cat__set_piece_category_Direct Free Kick,0.27791505692720087,0.27791505692720087
cat__set_piece_phase_Direct,0.27791505692720087,0.27791505692720087
num__assist_quality_logit,0.27723096145843446,0.27723096145843446
cat__assist_category_Unassisted,-0.273071037287728,0.273071037287728
cat__def_label_Carry,-0.2597491485866601,0.2597491485866601
cat__set_piece_phase_Second Phase,-0.25743070974373233,0.25743070974373233
cat__set_piece_category_Kick Off,-0.24098425287621214,0.24098425287621214
cat__assist_category_Counter (solo),-0.2294711395000157,0.2294711395000157
cat__minute_bucket_label_60-75,0.21613403522127012,0.21613403522127012
cat__minute_bucket_label_75-90,0.21338398618304213,0.21338398618304213
cat__set_piece_category_Goal Kick,-0.1935234167758359,0.1935234167758359
cat__chain_label_Unassisted,0.18403096759877288,0.18403096759877288
cat__pass_style_None,0.18403096759877288,0.18403096759877288
cat__chain_label_Direct + Switch,-0.17216177874725408,0.17216177874725408
cat__pass_style_Switch,-0.17216177874725408,0.17216177874725408
num__minute,-0.16921650037292113,0.16921650037292113
num__assist_quality_modeled_prob,-0.16147423682748394,0.16147423682748394
