feature,coefficient,abs_coefficient
cat__def_label_Block,-2.2807269156568637,2.2807269156568637
cat__def_label_Block – Deflection,1.1156425603365567,1.1156425603365567
bin__possession_match,-0.9268169089434356,0.9268169089434356
num__statsbomb_xg,0.5725448076463534,0.5725448076463534
cat__def_label_Ball Recovery,0.558965966149807,0.558965966149807
num__shot_distance,-0.49043362830820675,0.49043362830820675
cat__def_label_Carry,0.48599329928400026,0.48599329928400026
cat__def_label_No immediate defensive trigger,-0.4791906857764977,0.4791906857764977
cat__pass_style_Switch,-0.3698427818294395,0.3698427818294395
cat__chain_label_Direct + Switch,-0.3698427818294395,0.3698427818294395
cat__set_piece_phase_Second Phase,-0.36676587743899053,0.36676587743899053
cat__set_piece_category_Kick Off,-0.3605075180384727,0.3605075180384727
cat__assist_category_Counter (solo),-0.35243108406415236,0.35243108406415236
cat__set_piece_category_Other Restart,0.3439514443634867,0.3439514443634867
cat__def_label_Pressure,0.3304849920189368,0.3304849920189368
cat__assist_category_Counter Attack,-0.3232826689827175,0.3232826689827175
cat__pass_style_Through Ball,0.2937152791172016,0.2937152791172016
cat__chain_label_Direct + Through Ball,0.2937152791172016,0.2937152791172016
cat__assist_category_Cross,0.2807169562781585,0.2807169562781585
cat__minute_bucket_label_90+,0.27173648207195517,0.27173648207195517
cat__minute_bucket_label_0-15,-0.24689621843775633,0.24689621843775633
cat__def_label_Duel – Aerial Lost,0.24318268137748628,0.24318268137748628
cat__minute_bucket_label_15-30,-0.23802776391212704,0.23802776391212704
cat__set_piece_category_Corner,-0.20836463511544298,0.20836463511544298
cat__assist_category_Cutback,0.19630264206630268,0.19630264206630268
cat__chain_label_Direct + High Pass,-0.19256945288802052,0.19256945288802052
cat__pass_style_High Pass,-0.19256945288802052,0.19256945288802052
cat__assist_category_High Pass,0.18631099831199985,0.18631099831199985
cat__pressure_state_Under pressure,-0.15973071347461204,0.15973071347461204
cat__assist_category_Through Ball,0.14747390444412142,0.14747390444412142
cat__set_piece_category_Direct Free Kick,0.1458483743967634,0.1458483743967634
cat__set_piece_phase_Direct,0.1458483743967634,0.1458483743967634
num__score_diff_at_shot,0.14233544478514434,0.14233544478514434
cat__score_state_Leading 2+,-0.14113255113887674,0.14113255113887674
cat__assist_category_Ground Pass,-0.1357201839417594,0.1357201839417594
cat__pass_style_None,0.12027117847424186,0.12027117847424186
cat__chain_label_Unassisted,0.12027117847424186,0.12027117847424186
cat__pass_style_Cross,-0.11668321693328715,0.11668321693328715
cat__chain_label_Direct + Cross,-0.11668321693328715,0.11668321693328715
num__minute,-0.11458308753427546,0.11458308753427546
cat__set_piece_phase_First Phase,0.11268459054112609,0.11268459054112609
cat__minute_bucket_label_30-45,-0.10914304239885164,0.10914304239885164
cat__def_label_Interception – Lost In Play,-0.10882437780166547,0.10882437780166547
cat__assist_category_Set Piece,-0.09167683882611213,0.09167683882611213
cat__assist_category_Unassisted,-0.0837353608527291,0.0837353608527291
bin__is_leading,-0.0761220706340096,0.0761220706340096
cat__simple_state_Leading,-0.0761220706340096,0.0761220706340096
num__time_gap_seconds,-0.07516211814255601,0.07516211814255601
cat__score_state_Trailing 1,-0.07323610460738611,0.07323610460738611
cat__set_piece_category_Open Play,-0.0724074297785321,0.0724074297785321
cat__set_piece_phase_Open Play,-0.0724074297785321,0.0724074297785321
cat__minute_bucket_label_60-75,0.0699137490217718,0.0699137490217718
cat__score_state_Leading 1,0.06501048050486373,0.06501048050486373
cat__set_piece_category_Goal Kick,-0.0643504629331622,0.0643504629331622
cat__set_piece_category_Throw In,0.06434703828232552,0.06434703828232552
cat__chain_label_Direct + Ground Pass,0.05796897340114565,0.05796897340114565
cat__pass_style_Ground Pass,0.05796897340114565,0.05796897340114565
cat__simple_state_Trailing,-0.0551533342192914,0.0551533342192914
bin__is_trailing,-0.0551533342192914,0.0551533342192914
cat__minute_bucket_label_75-90,0.05072826652139914,0.05072826652139914
cat__simple_state_Drawing,-0.049364937426320796,0.049364937426320796
bin__is_drawing,-0.049364937426320796,0.049364937426320796
cat__score_state_Level,-0.049364937426320796,0.049364937426320796
num__shot_angle,0.04721786516744528,0.04721786516744528
cat__def_label_Dribble,-0.03292492642648426,0.03292492642648426
cat__set_piece_category_Indirect Free Kick,-0.029157153456593865,0.029157153456593865
cat__chain_label_Direct + Cutback,0.026499678378534116,0.026499678378534116
cat__pass_style_Cutback,0.026499678378534116,0.026499678378534116
cat__minute_bucket_label_45-60,0.02104818485398039,0.02104818485398039
cat__pressure_state_Not under pressure,-0.020909628805021965,0.020909628805021965
cat__score_state_Trailing 2+,0.018082770388094877,0.018082770388094877
cat__def_label_Duel – Tackle,-0.013242935784917864,0.013242935784917864
cat__assist_category_Counter Through Ball,-0.004598706712743118,0.004598706712743118
