feature,coefficient,abs_coefficient
cat__def_label_Block – Deflection,2.1937578387798444,2.1937578387798444
num__def_trigger_logit,1.9057630198574373,1.9057630198574373
cat__def_label_No immediate defensive trigger,-0.8136675753111554,0.8136675753111554
bin__possession_match,-0.7816170577530667,0.7816170577530667
num__statsbomb_xg,0.5439984233060768,0.5439984233060768
cat__def_label_Duel – Aerial Lost,-0.5141239664362917,0.5141239664362917
cat__def_label_Duel – Tackle,-0.4422419359438055,0.4422419359438055
num__shot_distance,-0.4060336443036712,0.4060336443036712
cat__pressure_state_Not under pressure,-0.38902676506907174,0.38902676506907174
cat__set_piece_phase_Second Phase,-0.3730167522129565,0.3730167522129565
num__assist_quality_multiplier,-0.3622319591412989,0.3622319591412989
cat__minute_bucket_label_0-15,-0.360427127556399,0.360427127556399
cat__def_label_Interception – Lost In Play,-0.35177684531776354,0.35177684531776354
num__pressure_logit,0.33565011852525833,0.33565011852525833
num__assist_quality_logit,0.3132541646167561,0.3132541646167561
cat__def_label_Carry,-0.3078703522665425,0.3078703522665425
cat__assist_category_Counter Through Ball,-0.29489579069106714,0.29489579069106714
cat__chain_label_Direct + Through Ball,0.2856723582257294,0.2856723582257294
cat__pass_style_Through Ball,0.2856723582257294,0.2856723582257294
num__set_piece_logit,0.2799708016772578,0.2799708016772578
cat__set_piece_phase_Direct,0.2701534261406437,0.2701534261406437
cat__set_piece_category_Direct Free Kick,0.2701534261406437,0.2701534261406437
cat__chain_label_Direct + Switch,-0.26707262843755436,0.26707262843755436
cat__pass_style_Switch,-0.26707262843755436,0.26707262843755436
cat__set_piece_category_Open Play,-0.23520993099684967,0.23520993099684967
cat__set_piece_phase_Open Play,-0.23520993099684967,0.23520993099684967
cat__assist_category_Cutback,-0.23281305071673122,0.23281305071673122
cat__assist_category_Counter (solo),-0.22818289810174872,0.22818289810174872
cat__set_piece_category_Corner,-0.2277278424827888,0.2277278424827888
cat__pass_style_High Pass,-0.2264497889918139,0.2264497889918139
cat__chain_label_Direct + High Pass,-0.2264497889918139,0.2264497889918139
cat__pass_style_Cross,-0.21978721821862368,0.21978721821862368
cat__chain_label_Direct + Cross,-0.21978721821862368,0.21978721821862368
cat__set_piece_phase_First Phase,-0.2133375601679668,0.2133375601679668
cat__def_label_Pressure,-0.1992809549160026,0.1992809549160026
cat__minute_bucket_label_15-30,-0.1986886224711268,0.1986886224711268
num__def_trigger_modeled_prob,-0.19856645841409928,0.19856645841409928
cat__set_piece_category_Kick Off,-0.19000505456080272,0.19000505456080272
cat__simple_state_Leading,-0.18964702727053045,0.18964702727053045
bin__is_leading,-0.18964702727053045,0.18964702727053045
bin__is_trailing,-0.1864206353883058,0.1864206353883058
cat__simple_state_Trailing,-0.1864206353883058,0.1864206353883058
num__def_trigger_multiplier,0.1852635324674864,0.1852635324674864
cat__simple_state_Drawing,-0.1753431545782954,0.1753431545782954
cat__score_state_Level,-0.17534315457829436,0.17534315457829436
bin__is_drawing,-0.17534315457829436,0.17534315457829436
cat__pressure_state_Under pressure,-0.16238405216806567,0.16238405216806567
cat__score_state_Leading 2+,-0.15433069909861985,0.15433069909861985
cat__def_label_Ball Recovery,-0.15317956689973064,0.15317956689973064
num__minute,-0.14622574780347233,0.14622574780347233
cat__assist_category_Cross,0.13987740778467517,0.13987740778467517
cat__pass_style_Ground Pass,-0.13971430031951376,0.13971430031951376
cat__chain_label_Direct + Ground Pass,-0.13971430031951376,0.13971430031951376
cat__minute_bucket_label_30-45,-0.13872075783772278,0.13872075783772278
cat__minute_bucket_label_45-60,-0.12686415581975755,0.12686415581975755
num__pressure_modeled_prob,-0.12657826306691092,0.12657826306691092
num__finishing_bias_multiplier,-0.12252942181386851,0.12252942181386851
cat__set_piece_category_Goal Kick,-0.12124633832438021,0.12124633832438021
cat__minute_bucket_label_75-90,0.11758057959740156,0.11758057959740156
cat__assist_category_Set Piece,-0.10078636694383489,0.10078636694383489
cat__assist_category_High Pass,0.09750215941442204,0.09750215941442204
num__finishing_bias_logit,0.09405642053247992,0.09405642053247992
cat__score_state_Trailing 1,-0.09350521194510461,0.09350521194510461
cat__score_state_Trailing 2+,-0.092915423443203,0.092915423443203
cat__minute_bucket_label_60-75,0.0901163315520241,0.0901163315520241
cat__assist_category_Counter Attack,0.08810495422429732,0.08810495422429732
cat__def_label_Interception – Lost Out,-0.08487237196791042,0.08487237196791042
cat__assist_category_Ground Pass,0.06723264393890102,0.06723264393890102
cat__minute_bucket_label_90+,0.065592935298454,0.065592935298454
num__set_piece_multiplier,-0.05861143914917509,0.05861143914917509
cat__set_piece_category_Indirect Free Kick,-0.05794126608543401,0.05794126608543401
num__shot_angle,0.057901032710838206,0.057901032710838206
cat__assist_category_Through Ball,-0.0537407097038284,0.0537407097038284
num__pressure_multiplier,-0.05054630991564696,0.05054630991564696
cat__def_label_Block,0.047906272885475644,0.047906272885475644
cat__chain_label_Direct + Cutback,0.04593619208216854,0.04593619208216854
cat__pass_style_Cutback,0.04593619208216854,0.04593619208216854
cat__def_label_Interception – Won,0.04575825140867484,0.04575825140867484
