feature,coefficient,abs_coefficient
cat__def_label_Block,-2.206104288519561,2.206104288519561
cat__def_label_Block – Deflection,1.187632990584724,1.187632990584724
num__statsbomb_xg,0.830057443967401,0.830057443967401
bin__possession_match,-0.6688795326077407,0.6688795326077407
cat__def_label_Ball Recovery,0.5912902023379971,0.5912902023379971
num__shot_distance,-0.48493008413762406,0.48493008413762406
cat__def_label_Carry,0.4756951091296114,0.4756951091296114
cat__set_piece_category_Other Restart,0.4603350290545941,0.4603350290545941
cat__minute_bucket_label_90+,0.3756455428926204,0.3756455428926204
cat__pass_style_Switch,-0.36932155789184407,0.36932155789184407
cat__chain_label_Direct + Switch,-0.36932155789184407,0.36932155789184407
cat__set_piece_category_Penalty,-0.34983420619653754,0.34983420619653754
cat__minute_bucket_label_0-15,-0.3391348017547874,0.3391348017547874
cat__chain_label_Direct + Through Ball,0.31729550165915277,0.31729550165915277
cat__pass_style_Through Ball,0.31729550165915277,0.31729550165915277
cat__def_label_Pressure,0.31233745019823694,0.31233745019823694
cat__def_label_Duel – Tackle,-0.2949288567393231,0.2949288567393231
cat__assist_category_Counter (solo),-0.29323130915195017,0.29323130915195017
cat__minute_bucket_label_15-30,-0.2823113918388705,0.2823113918388705
cat__assist_category_Counter Attack,-0.28200788993083103,0.28200788993083103
cat__assist_category_Cross,0.27046511749087404,0.27046511749087404
cat__set_piece_phase_First Phase,0.2653063708796523,0.2653063708796523
cat__def_label_Duel – Aerial Lost,0.25996468790552074,0.25996468790552074
cat__set_piece_category_Kick Off,-0.2552027868955342,0.2552027868955342
cat__set_piece_phase_Second Phase,-0.2464499428426719,0.2464499428426719
cat__def_label_No immediate defensive trigger,-0.23045404971404457,0.23045404971404457
cat__set_piece_category_Corner,-0.21722028694582746,0.21722028694582746
num__minute,-0.21451516624005743,0.21451516624005743
cat__assist_category_Cutback,0.20618889296406728,0.20618889296406728
cat__set_piece_category_Direct Free Kick,0.19805369653943167,0.19805369653943167
cat__assist_category_High Pass,0.19481548506395346,0.19481548506395346
cat__chain_label_Direct + High Pass,-0.19337863087019058,0.19337863087019058
cat__pass_style_High Pass,-0.19337863087019058,0.19337863087019058
cat__chain_label_Unassisted,0.15820790671432342,0.15820790671432342
cat__pass_style_None,0.15820790671432342,0.15820790671432342
cat__assist_category_Ground Pass,-0.15805605753222512,0.15805605753222512
cat__set_piece_phase_Direct,-0.15178050965710546,0.15178050965710546
cat__assist_category_Unassisted,-0.14056428880957242,0.14056428880957242
num__score_diff_at_shot,0.13513721801366352,0.13513721801366352
cat__minute_bucket_label_75-90,0.12786879969828324,0.12786879969828324
cat__minute_bucket_label_60-75,0.12477396665529918,0.12477396665529918
cat__def_label_Interception – Lost In Play,-0.1114619518780418,0.1114619518780418
cat__assist_category_Through Ball,0.11063803369831765,0.11063803369831765
cat__minute_bucket_label_30-45,-0.10343253840164947,0.10343253840164947
cat__pass_style_Cross,-0.10340871400267383,0.10340871400267383
cat__chain_label_Direct + Cross,-0.10340871400267383,0.10340871400267383
cat__set_piece_category_Throw In,0.10038283689930537,0.10038283689930537
cat__score_state_Leading 2+,-0.09521931881497256,0.09521931881497256
cat__score_state_Trailing 1,-0.09430681780699898,0.09430681780699898
cat__score_state_Trailing 2+,0.08568330960232973,0.08568330960232973
cat__pressure_state_Under pressure,-0.08472102963870756,0.08472102963870756
cat__pass_style_Ground Pass,0.08471111766266098,0.08471111766266098
cat__chain_label_Direct + Ground Pass,0.08471111766266098,0.08471111766266098
cat__set_piece_category_Open Play,0.08337086021017641,0.08337086021017641
cat__set_piece_phase_Open Play,0.08337086021017641,0.08337086021017641
cat__score_state_Leading 1,0.07605245416055902,0.07605245416055902
num__shot_angle,0.05885964405826796,0.05885964405826796
cat__pass_style_Cutback,0.05634115531862632,0.05634115531862632
cat__chain_label_Direct + Cutback,0.05634115531862632,0.05634115531862632
cat__minute_bucket_label_45-60,0.047037201339163726,0.047037201339163726
cat__set_piece_category_Goal Kick,-0.044052241837146434,0.044052241837146434
num__time_gap_seconds,0.0411106594424935,0.0411106594424935
cat__pressure_state_Not under pressure,0.03516780822876074,0.03516780822876074
cat__def_label_Dribble,-0.03352451471504263,0.03352451471504263
cat__assist_category_Counter Through Ball,0.030420912380064686,0.030420912380064686
cat__set_piece_category_Indirect Free Kick,-0.025386122238409966,0.025386122238409966
bin__is_drawing,-0.021762848550857715,0.021762848550857715
cat__simple_state_Drawing,-0.021762848550857715,0.021762848550857715
cat__score_state_Level,-0.021762848550857715,0.021762848550857715
bin__is_leading,-0.01916686465441628,0.01916686465441628
cat__simple_state_Leading,-0.01916686465441628,0.01916686465441628
cat__assist_category_Set Piece,0.011777882417350541,0.011777882417350541
bin__is_trailing,-0.008623508204669386,0.008623508204669386
cat__simple_state_Trailing,-0.008623508204669386,0.008623508204669386
