shot_id,match_id,team_id,opponent_team_id,statsbomb_xg,is_goal,shot_distance,shot_angle,location_x,location_y,shot_body_part,shot_outcome,score_diff_at_shot,is_leading,is_trailing,is_drawing,minute,feature_minute_bucket,score_state,simple_state,minute_bucket_label,chain_label,pass_style,assist_category,pressure_state,set_piece_category,set_piece_phase,def_label,time_gap_seconds,possession_match
1,1,3,2,0.036565553,False,24.029981273400946,0.2644610062899311,96.0,38.8,Left Foot,Blocked,0,False,False,True,0,0-15,Level,Drawing,0-15,Unassisted,,Unassisted,Not under pressure,Kick Off,Second Phase,Ball Recovery,0.0,True
2,1,3,2,0.35328916,False,6.935416353759886,0.8620581728149298,113.1,40.7,Left Foot,Saved,0,False,False,True,0,0-15,Level,Drawing,0-15,Direct + High Pass,High Pass,High Pass,Not under pressure,Kick Off,First Phase,Block,3.0,True
3,1,3,2,0.06952749,False,16.311039206623228,0.38506767108894235,103.8,41.9,Right Foot,Saved,0,False,False,True,0,0-15,Level,Drawing,0-15,Unassisted,,Unassisted,Not under pressure,Kick Off,Second Phase,Ball Recovery,0.0,True
4,1,2,3,0.08160872,False,8.430895563343196,0.6871242101414398,112.2,36.8,Head,Off T,0,False,False,True,4,0-15,Level,Drawing,0-15,Direct + High Pass,High Pass,Set Piece,Not under pressure,Corner,First Phase,No immediate defensive trigger,34.0,False
5,1,2,3,0.030001678,False,25.00179993520467,0.22709459744931088,97.8,51.5,Left Foot,Post,0,False,False,True,10,0-15,Level,Drawing,0-15,Direct + Ground Pass,Ground Pass,Ground Pass,Not under pressure,Open Play,Open Play,Carry,1.0,True
6,1,2,3,0.5168786,False,4.808326112068517,1.1583858851975113,115.4,38.6,Other,Saved,0,False,False,True,10,0-15,Level,Drawing,0-15,Unassisted,,Unassisted,Not under pressure,Open Play,Open Play,Carry,0.0,True
7,1,3,2,0.09611784,False,12.870508925446579,0.46557612293808653,107.8,35.9,Left Foot,Blocked,0,False,False,True,13,0-15,Level,Drawing,0-15,Direct + Cutback,Cutback,Set Piece,Not under pressure,Indirect Free Kick,First Phase,Carry,3.0,True
8,1,3,2,0.06969889,True,16.38932579455299,0.30027124197279237,107.5,50.6,Left Foot,Goal,0,False,False,True,19,16-30,Level,Drawing,15-30,Direct + Ground Pass,Ground Pass,Set Piece,Not under pressure,Indirect Free Kick,First Phase,Carry,2.0,True
9,1,3,2,0.04476528,False,23.558013498595336,0.260629813361508,97.3,33.7,Left Foot,Saved,1,True,False,False,21,16-30,Leading 1,Leading,15-30,Direct + Ground Pass,Ground Pass,Ground Pass,Not under pressure,Open Play,Open Play,Carry,3.0,True
10,1,2,3,0.08628477,False,11.371895180663605,0.5096901313186938,109.6,35.4,Head,Saved,-1,False,True,False,22,16-30,Trailing 1,Trailing,15-30,Direct + Cross,Cross,Set Piece,Not under pressure,Indirect Free Kick,First Phase,Carry,4.0,True
