count,brier,log_loss,auc,ece,model,model_display,slice,slice_description,dataset_key
5606,0.06790051712796516,0.24479563077025077,0.79907747700075,0.006649472527470569,provider_xg,StatsBomb Provider xG,overall,All shots,enriched
1259,0.06003273759083263,0.22649330695337236,0.7578747267370022,0.017808079564654487,provider_xg,StatsBomb Provider xG,under_pressure,Shots under pressure,enriched
4347,0.07017922300264884,0.250096441832006,0.8088066951019337,0.007176991190499204,provider_xg,StatsBomb Provider xG,not_under_pressure,Shots not under pressure,enriched
1177,0.08617047846095925,0.29741837026504203,0.8035023849700385,0.01776544019660153,provider_xg,StatsBomb Provider xG,leading,Team leading,enriched
1463,0.06072732691554143,0.22754608881205926,0.7828323236941365,0.017500049213875594,provider_xg,StatsBomb Provider xG,trailing,Team trailing,enriched
2966,0.06418866034841086,0.23242176546325982,0.8016126943785308,0.006833121775623738,provider_xg,StatsBomb Provider xG,drawing,Score level,enriched
2348,0.06307699690509146,0.228990904146559,0.7916960082787516,0.011960030168611581,provider_xg,StatsBomb Provider xG,first_half,Minutes 0-45,enriched
3258,0.07137676804365194,0.2561859002952441,0.8030024741851599,0.009673575479772878,provider_xg,StatsBomb Provider xG,second_half,Minutes 46+,enriched
1413,0.12117456674950311,0.3904566265958216,0.7936283047807212,0.017432327330148614,provider_xg,StatsBomb Provider xG,close_range,Shot distance ≤ 12m,enriched
2436,0.03026221053102208,0.1384615953423564,0.6048127370721691,0.0004704591607142868,provider_xg,StatsBomb Provider xG,long_range,Shot distance ≥ 20m,enriched
3635,0.06663212099806645,0.23840599267413856,0.8183599022294208,0.01625945685177442,provider_xg,StatsBomb Provider xG,set_piece,Set piece phases,enriched
1971,0.07023974591141614,0.2565796665284283,0.7652242694956263,0.012683531845357683,provider_xg,StatsBomb Provider xG,open_play,Open play shots,enriched
5606,0.07573648282150659,0.27166844681020663,0.7367917985233599,0.0029829052173130683,baseline_geometry,Baseline Geometry,overall,All shots,filtered
1259,0.06840790738543977,0.25995688575842835,0.6539777587681779,0.048008375956199854,baseline_geometry,Baseline Geometry,under_pressure,Shots under pressure,filtered
4347,0.07785902169291405,0.27506040801659914,0.7659594461835113,0.014201550259881245,baseline_geometry,Baseline Geometry,not_under_pressure,Shots not under pressure,filtered
1177,0.10130508854249737,0.34577206783802084,0.7342452466683496,0.03827420239074528,baseline_geometry,Baseline Geometry,leading,Team leading,filtered
