assist_category,pass_style,pressure_state,shots,goals,xg_total,avg_distance,avg_angle,goal_rate,xg_per_shot,lift_vs_xg
Set Piece,Through Ball,Not under pressure,53,16,10.6060147415,15.208010294777978,0.31967945546610155,0.3018867924528302,0.20011348568867923,0.10177330676415094
Cutback,Cutback,Not under pressure,34,9,6.571821957,12.42513607707916,0.5040078182893488,0.2647058823529412,0.1932888810882353,0.07141700126470588
Through Ball,Through Ball,Not under pressure,49,15,12.451603714,13.576226499091499,0.37725952167469334,0.30612244897959184,0.2541143615102041,0.05200808746938773
Counter Attack,Ground Pass,Not under pressure,104,14,10.830375404,19.438128908106368,0.2927113190949997,0.1346153846153846,0.10413822503846154,0.03047715957692307
Set Piece,Cutback,Not under pressure,51,8,6.97483302,12.7386673546605,0.44710028786200934,0.1568627450980392,0.1367614317647059,0.020101313333333315
Cross,Cross,Not under pressure,203,35,32.330856089,11.753510167973658,0.5308336563966499,0.1724137931034483,0.1592653009310345,0.01314849217241379
Set Piece,Ground Pass,Not under pressure,828,58,50.2412607957,23.241990885060293,0.26272261844227496,0.07004830917874397,0.060677851202536236,0.009370457976207731
Ground Pass,Ground Pass,Not under pressure,878,53,57.324571365,22.924757646489653,0.2588834567670714,0.06036446469248292,0.0652899446070615,-0.004925479914578583
Set Piece,Ground Pass,Under pressure,162,8,8.9866830356,22.202582098688392,0.2598203764815564,0.04938271604938271,0.05547335207160494,-0.0060906360222222275
Ground Pass,Ground Pass,Under pressure,202,11,12.3246244597,22.613293039705038,0.26612649227420276,0.054455445544554455,0.06101299237475248,-0.006557546830198026
Set Piece,Cross,Not under pressure,285,38,40.294793089,11.12372239830718,0.543708319141959,0.13333333333333333,0.14138523890877194,-0.008051905575438612
Set Piece,Cross,Under pressure,185,20,21.579751866,9.594903426328079,0.6481390440870001,0.10810810810810811,0.11664730738378377,-0.00853919927567566
High Pass,High Pass,Under pressure,37,3,3.321765967,14.10077001953581,0.4437213011238379,0.08108108108108109,0.08977745856756757,-0.008696377486486481
Cross,Cross,Under pressure,93,10,10.869446644,10.339944242919291,0.5793987623939499,0.10752688172043011,0.1168757703655914,-0.009348888645161285
Set Piece,High Pass,Not under pressure,269,25,28.97669868,13.399359066473616,0.47272123646042125,0.09293680297397769,0.10772006944237918,-0.014783266468401488
High Pass,High Pass,Not under pressure,106,8,10.749398185,17.25712314228058,0.3458385878123878,0.07547169811320754,0.10140941683962265,-0.025937718726415107
Counter Attack,Ground Pass,Under pressure,28,2,2.757301953,19.411161011343914,0.27238926147832143,0.07142857142857142,0.09847506974999999,-0.027046498321428566
Set Piece,Switch,Not under pressure,117,5,8.2224381147,14.839534708620564,0.4203081174964419,0.042735042735042736,0.07027724884358974,-0.027542206108547004
Set Piece,Switch,Under pressure,135,5,9.797300262,10.101603329265815,0.5978030277738381,0.037037037037037035,0.07257259453333334,-0.035535557496296305
Set Piece,High Pass,Under pressure,171,7,14.3052052705,10.82767517644668,0.5251342459430136,0.04093567251461988,0.08365617117251462,-0.042720498657894734
