def_label,time_gap_bucket,possession_state,shots,goals,xg_total,goal_rate,xg_per_shot,modeled_prob,lift_vs_xg,lift_vs_model,bucket_logit,odds_multiplier
Carry,5-10s,Same,89,13,9.694313587,0.14606741573033707,0.10892487176404494,0.14310405763573958,0.03714254396629213,0.0029633580945974958,0.3670631662395248,1.443489096013487
No immediate defensive trigger,10-30s,Different,66,8,5.9312038845,0.12121212121212122,0.08986672552272727,0.11278394150973602,0.03134539568939394,0.0084281797023852,0.2716920955411699,1.3121829121344242
Pressure,2-5s,Same,196,25,20.8086915184,0.12755102040816327,0.10616679346122448,0.12505695623169122,0.021384226946938784,0.0024940641764720495,0.20082576767799568,1.2224117696268648
Carry,0-2s,Same,852,100,78.3643990953,0.11737089201877934,0.09197699424330986,0.1171033697211252,0.02539389777546948,0.0002675222976541436,0.19825862283634027,1.2192776861024597
Ball Recovery,0-2s,Same,467,79,68.0045966664,0.16916488222698073,0.14562012134132762,0.16897399821844958,0.023544760885653104,0.00019088400853115028,0.14335613601766312,1.1541407595771482
Carry,2-5s,Same,895,104,88.7078420296,0.11620111731843576,0.09911490729564246,0.11581855823639438,0.0170862100227933,0.00038255908204137823,0.13059058520689604,1.1395011571665912
No immediate defensive trigger,5-10s,Different,100,13,12.6167029955,0.13,0.126167029955,0.1309448060723511,0.003832970044999995,-0.0009448060723510898,0.12947534488152576,1.138231047895494
Carry,0-2s,Different,57,6,5.549308367,0.10526315789473684,0.09735628714035088,0.09975446662774433,0.007906870754385953,0.0055086912669925076,0.04967222368887203,1.050926571080758
Pressure,0-2s,Same,718,67,68.1163833111,0.09331476323119778,0.09486961463941504,0.09335859652416516,-0.0015548514082172615,-4.383329296737959e-05,-0.05446241028698405,0.9469941054254392
Duel – Aerial Lost,0-2s,Same,450,39,45.527560256,0.08666666666666667,0.10117235612444445,0.08699571451267957,-0.014505689457777776,-0.0003290478460128976,-0.08884150779970831,0.9149905809533007
No immediate defensive trigger,30s+,Different,381,24,30.3870024051,0.06299212598425197,0.07975591182440944,0.0639574069008668,-0.016763785840157475,-0.0009652809166148385,-0.3004928421585776,0.7404532041858707
Block – Deflection,0-2s,Same,66,0,4.680112353,0.0,0.07091079322727273,0.024589876883467955,-0.07091079322727273,-0.024589876883467955,-1.8034723847257625,0.16472590227649156
Block,0-2s,Same,1150,1,67.8529704924,0.0008695652173913044,0.05900258303686957,0.003641414701913219,-0.058133017819478265,-0.0027718494845219146,-3.098188408064653,0.04513088713267524
