set_piece_category,set_piece_phase,score_state,minute_bucket_label,shots,goals,xg_total,goal_rate,xg_per_shot,modeled_prob,lift_vs_xg,lift_vs_model,bucket_logit,odds_multiplier
Indirect Free Kick,First Phase,Trailing 2+,75-90,15,3,0.894825726,0.2,0.0596550484,0.13482123662366735,0.14034495160000002,0.06517876337633266,0.9732119601936493,2.646431053956549
Goal Kick,First Phase,Level,60-75,15,3,1.1622210938,0.2,0.07748140625333333,0.14642960828567064,0.12251859374666668,0.05357039171432937,0.7970861082155937,2.219065382167553
Open Play,Open Play,Leading 1,45-60,73,13,7.801137217,0.1780821917808219,0.10686489338356164,0.16736200254987435,0.07121729839726026,0.010720189230947558,0.7827073241634268,2.1873862199580905
Indirect Free Kick,First Phase,Level,30-45,58,8,4.318780624,0.13793103448275862,0.07446173489655174,0.12608443621716983,0.06346929958620688,0.011846598265588787,0.7741692196795247,2.168789590819944
Throw In,Second Phase,Level,0-15,40,7,3.7203725639000003,0.175,0.0930093140975,0.15510051917798345,0.08199068590249999,0.019899480822016535,0.7364176446886406,2.088440561579335
Open Play,Open Play,Trailing 2+,90+,24,5,3.06089186,0.20833333333333334,0.12753716083333333,0.1772476673648187,0.08079617250000001,0.031085665968514642,0.6659390167389233,1.9463172880330675
Throw In,Second Phase,Level,45-60,22,3,1.3266699347,0.13636363636363635,0.06030317885,0.1047972246078726,0.07606045751363635,0.03156641175576376,0.6649506254072453,1.9443945152793742
Direct Free Kick,Direct,Level,45-60,15,2,0.7273025183,0.13333333333333333,0.04848683455333334,0.09160247793333597,0.08484649878,0.041730855399997366,0.6445464337188129,1.9051227338455132
Throw In,First Phase,Trailing 1,30-45,16,3,1.4955975587,0.1875,0.09347484741875,0.14732572670331048,0.09402515258125,0.04017427329668952,0.637457537784212,1.8916652726693648
Open Play,Open Play,Leading 1,60-75,65,10,6.8511629107,0.15384615384615385,0.10540250631846154,0.14447656845838142,0.04844364752769231,0.009369585387772439,0.623647571666916,1.8657209964654564
Other Restart,First Phase,Level,45-60,26,4,2.5200491213,0.15384615384615385,0.09692496620384615,0.13036024008460886,0.056921187642307705,0.02348591376154499,0.5496611437829919,1.732665793804524
Open Play,Open Play,Leading 2+,90+,26,5,3.50801391,0.19230769230769232,0.13492361192307692,0.17014027468277917,0.0573840803846154,0.022167417624913144,0.5381825211701056,1.7128908885067125
Corner,First Phase,Trailing 1,60-75,30,4,2.724241503,0.13333333333333333,0.0908080501,0.11344730438307603,0.042525283233333336,0.019886028950257303,0.5264839472723511,1.6929692623764856
Throw In,Second Phase,Level,15-30,25,4,2.539966259,0.16,0.10159865035999999,0.13794063585562538,0.058401349640000016,0.02205936414437462,0.5094021115066049,1.6642958340893284
Direct Free Kick,Direct,Level,0-15,18,2,0.945820458,0.1111111111111111,0.052545581,0.08352467675114163,0.058565530111111104,0.027586434359969478,0.5078396283994346,1.6616974304727434
Open Play,Open Play,Trailing 1,30-45,38,5,3.0772091658,0.13157894736842105,0.0809791885736842,0.11653549583699759,0.05059975879473684,0.01504345153142346,0.5041920501945847,1.6556473000122913
Throw In,First Phase,Leading 1,30-45,21,3,1.865997565,0.14285714285714285,0.08885702690476191,0.11843853123344243,0.05400011595238094,0.024418611623700417,0.49468732522825837,1.6399853768283228
Indirect Free Kick,First Phase,Trailing 1,45-60,26,4,2.7584676147,0.15384615384615385,0.1060949082576923,0.13433435706740787,0.047751245588461555,0.019511796778745982,0.47655475361508776,1.6105162078732833
Indirect Free Kick,First Phase,Leading 1,60-75,24,5,3.9047355524,0.20833333333333334,0.16269731468333334,0.18778103334484453,0.04563601865,0.020552299988488815,0.4584930527632149,1.5816886668056576
Corner,First Phase,Trailing 1,90+,21,3,2.128688366,0.14285714285714285,0.10136611266666666,0.12012262176736611,0.04149103019047619,0.022734521089776735,0.4553724477863033,1.576760534656206
Other Restart,First Phase,Level,0-15,18,3,2.165322869,0.16666666666666666,0.12029571494444445,0.1418615242783852,0.046370951722222206,0.024805142388281465,0.45367499635667136,1.5740863305403743
Indirect Free Kick,First Phase,Level,60-75,39,5,3.564923108,0.1282051282051282,0.09140828482051282,0.11522570810361728,0.03679684338461538,0.012979420101510916,0.44583577279991826,1.5617949562585702
Corner,First Phase,Leading 1,45-60,18,2,1.284077054,0.1111111111111111,0.07133761411111111,0.08784534728515436,0.03977349699999999,0.023265763825956742,0.42540566821627784,1.5302110517574052
Goal Kick,First Phase,Level,30-45,19,2,1.109861321,0.10526315789473684,0.0584137537368421,0.08341934228890754,0.046849404157894736,0.021843815605829292,0.4222444727005198,1.5253813932118554
Open Play,Open Play,Trailing 2+,45-60,22,3,2.0058219569999998,0.13636363636363635,0.09117372531818181,0.1188535989012399,0.04518991104545454,0.017510037462396447,0.3810889884033692,1.4638778677679032
Open Play,Open Play,Leading 1,75-90,40,6,4.892312867,0.15,0.12230782167500001,0.14025020418125375,0.027692178324999983,0.009749795818746243,0.35752928004912654,1.4297924302277711
Open Play,Open Play,Trailing 1,15-30,49,5,3.722906207,0.10204081632653061,0.07597767769387755,0.09375116940026355,0.02606313863265307,0.00828964692626706,0.3535267739593299,1.4240811147307983
Open Play,Open Play,Leading 2+,45-60,33,5,4.1706539144,0.15151515151515152,0.12638345195151515,0.14000584113013434,0.025131699563636367,0.01150931038501718,0.3514551970520888,1.4211340747433934
Open Play,Open Play,Trailing 1,45-60,93,11,8.6861839791,0.11827956989247312,0.09339982773225808,0.11434770578367984,0.024879742160215046,0.003931864108793287,0.34899973198815215,1.417648810395258
Corner,First Phase,Leading 1,30-45,20,2,1.44983204,0.1,0.072491602,0.08274014815936157,0.027508398000000003,0.01725985184063844,0.3487704108556374,1.4173237508374876
Open Play,Open Play,Level,90+,65,7,5.6426335037,0.1076923076923077,0.08680974621076923,0.10245929137723084,0.02088256148153847,0.0052330163150768605,0.3232765158781846,1.3816473455184957
Other Restart,First Phase,Level,15-30,18,2,1.6381034145,0.1111111111111111,0.09100574524999999,0.09336243327209577,0.020105365861111113,0.017748677839015334,0.3216893875625879,1.379456233142448
Throw In,First Phase,Level,0-15,91,9,7.918383506,0.0989010989010989,0.08701520336263736,0.09568013197403046,0.011885895538461533,0.0032209669270684416,0.3004665110870187,1.3504886785851284
Indirect Free Kick,First Phase,Trailing 1,90+,21,3,2.549369443,0.14285714285714285,0.1213985449047619,0.12877200022770965,0.021458597952380948,0.014085142629433195,0.28534858298369314,1.3302256413359825
Throw In,First Phase,Trailing 1,75-90,35,3,2.2701670817,0.08571428571428572,0.06486191662,0.07687850428136549,0.020852369094285714,0.008835781432920228,0.2805710032479689,1.3238855394985645
Throw In,First Phase,Leading 1,45-60,29,3,2.5242139678999997,0.10344827586206896,0.08704186096206895,0.09462457259615734,0.016406414900000013,0.008823703265911628,0.23911618170837542,1.2701260934313543
Indirect Free Kick,First Phase,Trailing 1,75-90,21,2,1.886546243,0.09523809523809523,0.08983553538095237,0.08638455128526733,0.005402559857142858,0.008853543952827905,0.1861767803788422,1.2046351974220963
Open Play,Open Play,Trailing 2+,60-75,31,3,2.5350568307,0.0967741935483871,0.08177602679677419,0.09070737637102018,0.014998166751612904,0.006066817177366915,0.18005030994958213,1.197277596582146
Throw In,First Phase,Level,75-90,42,4,3.8129019497,0.09523809523809523,0.0907833797547619,0.09035628710670414,0.00445471548333333,0.004881808131391094,0.1788304033014323,1.1958179201978782
Goal Kick,First Phase,Level,15-30,17,2,1.6255211939,0.11764705882352941,0.09561889375882353,0.10714388962369627,0.022028165064705882,0.010503169199833143,0.1783905289457427,1.195292026232823
Throw In,First Phase,Level,45-60,62,6,5.4231734325,0.0967741935483871,0.08747053923387096,0.09347020867718907,0.00930365431451613,0.0033039848711980263,0.17494539226139466,1.1911811671264656
Corner,First Phase,Trailing 1,45-60,21,2,1.9733722354,0.09523809523809523,0.09397010644761905,0.087546275772329,0.0012679887904761822,0.007691819465766234,0.1612952809653737,1.1750318821414034
Throw In,First Phase,Leading 1,75-90,17,2,1.805265466,0.11764705882352941,0.10619208623529412,0.10868020196854582,0.011454972588235288,0.008966856854983593,0.1511231539371646,1.1631398945190567
Indirect Free Kick,Second Phase,Level,0-15,23,2,1.3769313328,0.08695652173913043,0.059866579686956516,0.08079760135513922,0.027089942052173917,0.006158920383991212,0.14335658455369382,1.1541412772509796
Throw In,First Phase,Trailing 2+,60-75,16,2,1.7115874663,0.125,0.10697421664375,0.11602165166565376,0.018025783356250005,0.008978348334346242,0.14187900434512393,1.1524372002071115
Open Play,Open Play,Level,45-60,162,17,16.6627148792,0.10493827160493827,0.10285626468641974,0.10378794083473124,0.0020820069185185225,0.0011503307702070281,0.13203588100886066,1.1411492641195164
Indirect Free Kick,First Phase,Level,75-90,36,3,3.014852249,0.08333333333333333,0.08374589580555555,0.07998125243213389,-0.00041256247222222486,0.003352080901199442,0.11260284472835957,1.1191873535134955
Open Play,Open Play,Level,75-90,103,8,8.205287678,0.07766990291262135,0.07966298716504853,0.07663458167741267,-0.0019930842524271825,0.0010353212352086777,0.11234109116698338,1.118894440575041
